doi,sentence
10/1039_d3ta06928a_rapid_preparation_of_binary_mixtures,"To gauge an initial response, cyclic voltammetry (CV) and galvanostatic cycling was performed for all mixtures and Na-(NDC)(MW) in half cells with sodium metal as the counter electrode."
10/1039_c4ee03361b_highperformance_symmetric_sodiumion_batteries_using,"The bright spots in Figure S1a and 2d) and the dark-dot contrast in ABF-STEM images (Figure 2e) reveal the sodium and transition metal (Ni and Ti) atom positions, and sodium is fully overlapped by transition metal projected along direction, which is consistent with O3-type layered structure."
10/1186_s44147_025_00668_y_review_of_thermal_runaway_risks,"The flame-retardant gel electrolyte (FRGE) in sodium-ion batteries, composed of fully fluorinated electrolytes (FEC, FEMC), high-concentration phosphate ester (TFEP), and crosslinked gel components (DVP, PETEA), significantly enhances thermal stability in layered oxide cathode cells (especially NCFM-Nickel-Cobalt-Fluoride-Manganese)."
10/20517_microstructures_2025_10_recent_advances_in_conversiontype_ironbased,"Used as SIB anodes, FeP@NC delivered a capacity of 374 mAh g -1 over 2,000 cycles at 0.5 A g -1 ."
10/3389_fenrg_2022_910842_layered_p2naxmn34ni14o2_cathode_materials_for,"In this work, we present the synthesis and electrochemical characterization of a P2-Na x Mn 3/4 Ni 1/4 O 2 cathode active material with spherical morphology for sodium-ion batteries."
10/1039_c6ee00640j_life_cycle_assessment_of_sodiumion,"Impacts obtained for GWP and FDP are at the lower end of the range set up by existing LIBs, while for FEP and HTP the SIB outscores all LIBs."
10/33961_jecst_2019_00633_triclinic_na312co244p2o72_as_a_high,"However, when compared to the performance for Na-ion cells, Na 3.12 Co 2.44 (P 2 O 7 ) 2 exhibited a larger polarization and poorer capacity retention for Li-ion cells, as shown in the dQ/dV plots (Fig. 3(b) and 5(b))."
10/54097_62wswy20_advances_in_sodiumion_battery_technology,"There are more nanovoids in hard carbon, which can better accommodate active ions for electrochemical energy storage."
10/20517_energymater_2023_63_constructing_threedimensional_architectures_to_design,Huang et al. designed a hierarchical core-shell Bi 2 S 3 @Co 9 S 8 composite for SIB anodes.
10/1007_s10853_023_08642_w_room_temperature_manufacture_of_dense,"However, Lale `re et al. demonstrated the functionality of an all-solid-state battery with NaSICON solid electrolyte, which exhibits an ionic conductivity of 1.9 9 10 -4 S cm -1 at 200 °C."
10/1007_s42452_018_0141_5_structural_effects_on_the_enhancement,Sodium ion batteries (SIBs) are a promising alternative to lithium ion batteries (LIBs) due to the similar chemical properties of sodium and lithium and the natural abundance and relatively low cost of sodium .
10/1039_c8qi00185e_the_electrochemical_storage_mechanism_in,A structural analysis performed by means of pair distribution function obtained on sodiated electrode demonstrated that sodium ions are inserted into titanium vacancies.
10/1038_s41467_024_44855_6_alkalinebased_aqueous_sodiumion_batteries_for,"The high concentration of OH -in electrolytes limits selection of cathodes because of the interaction of transition metal-based electrodes with OH -, leading to the deterioration of electrode structures, especially for Mn-based Prussian blue analogues (PBAs) cathodes 10 ."
10/5796_electrochemistry_23_00023_tioltsubgt2ltsubgt_anode_material_for_allsolidstate,"LCPO was found to match the monoclinic peak pattern (ICSD No. 261899, space group P21/a), and LAGP matched the peak pattern of the trident crystal (ICSD No. 69763, space group R-3c) of LiGe 2 (PO 4 ) 3 of NASICON."
10/1038_s41467_019_11925_z_conductive_carbon_nanofiber_interpenetrated_graphene,"The higher slope (σ = 92.3) of the CNF/G/ MoS 2 composite (Supplementary Fig. 29) compared with the MoS 2 @CNFIG hybrid (σ = 33.4) demonstrates less efficient sodium ions transfer inside the CNF/G/MoS 2 composite anode, which limits rapid sodium ions insertion/extraction under high current densities."
10/1039_d5ta00826c_understanding_the_structure_and_mechanism,"However, the observations conrm the existence of continuous monoclinic to rhombohedral symmetry transformation, which has an inuence on the structural parameters, such as interatomic distances, occupancies, and lattice parameters, and therefore, inuences the overall Na + transport mechanism in NASICONs."
10/1039_d3ce01140b_selforganized_formation_of_sevenrod_bundle,"KLa-HCF is a kind of PBA; PBAs are a group of substances in which other metal ions substitute either (or both) Fe ions for Prussian blue, K 3x Fe III (4-x) [Fe II (CN) 6 ] 3 •nH 2 O (x = 0-1, typically x = 0)."
10/1039_d5ee00415b_benchmarking_stateoftheart_sodiumion_battery_cells,"Consequently, in the HC-optimized scenario, the majority of the assessed SIB cells exhibit smaller CFs than the LFP benchmark."
10/1038_s41467_024_47522_y_consummating_ion_desolvation_in_hard,"Since the SEIs formed in ether and ester electrolytes are significantly different in compositions and properties, we performed a comparative analysis of cycled hard carbons (after 10 cycles) in both electrolytes."
10/1021_acsaem_3c02994_can_a_coating_mitigate_molten,"Many electrolytes would fail under those conditions, but the experiments in this work prove that SnNaSICONSn could be an effective long duration electrolyte, with the ability to handle halfcycles of greater than 23 h at 100 mA cm -2 (2.3 Ah cm -2 )."
10/1007_s43979_023_00053_9_research_progresses_in_o3type_nifemn,The full cell NaNi 0.5 Mn 0.5 O 2 /hard carbon delivered a high capacity over 200 mAh g -1 (based on negative electrodes) along with operating voltage of about 3 V.
10/1039_d0ta06024k_an_epoxyreinforced_ceramic_sheet_as,"When the ceramic sample subjected to pressure is sintered for 10 h at over 1000 ℃ in a heat treatment furnace, the ceramic powders connect to each other to form a Na-ion conducting channel."
10/1039_d0ta07966a_nasub2subfesub2subossub2sub_a_new_earth_abundant,"The development of Na-ion batteries, whose upper continental crust abundance (ucca) is signicantly higher than that of Li (2.567 wt% vs. 0.0022 wt%, respectively), 1 as a cheaper alternative is therefore a promising route to diversify technology for grid or local storage applications that do not require high energy density."
10/1016_j_jpowsour_2020_228417_optimization_of_the_compositions_of,"Also, the measured sodium-ion diffusivity values in the range of 6 × 10 -11 to 7 × 10 -11 cm 2 /s in the sodium concentration range."
10/1039_d3na00388d_a_prussian_blue_analog_as,"However, current therapeutic drugs like Prussian blue (PB) have limited efficacy in addressing these issues."
10/1039_c6cc06990h_mechanistic_insights_into_sodium_storage,"Capacity results from ''diamagnetic'' sodium ions first adsorbing onto pore surfaces, defects and between expanded layers, before pooling into larger quasi-metallic clusters/ expanded carbon sheets at lower voltages."
10/5796_electrochemistry_23_00009_hard_carbonsulfide_solid_electrolyte_interface,"To elucidate the reason for the irreversible capacity in all-solidstate cells using hard carbon-Na 3 BS 3 composite electrodes, the cell was disassembled following charge-discharge testing, and crosssectional SEM and EDS analyses were conducted."
10/1039_d1cp00610j_insights_into_the_sodiation_mechanism,"While we agree with the common view on the role of micropores in sodium storage, we consider the explanation of intercalation into the graphitic interlayer space during the sloping phase as somewhat incomplete."
10/1038_s41467_024_47522_y_consummating_ion_desolvation_in_hard,The typical hard carbon sphere (Supplementary Figs. 1 and2) was used as a model material to study the correlation between ICE and aging time.
10/1039_d3ra04781d_crxy_xy_s_se_te,"The following equation can be used to calculate the diffusion constant (D) of lithium and sodium ions. 62 where T is the ambient temperature, E b is the barrier energy, k B is the Boltzmann constant, and D 0 is the temperatureindependent pre-exponential constant and we took the D 0 value same for all path."
10/1038_s41467_025_57378_5_unravelling_the_structurestability_interplay_of,"Further studies using XPS and Raman spectra tests revealed that not only Ni 3+ , Fe 3+ undergo redox reactions during the charging process of Na0.55."
10/1088_1361_6528_aac73b_superior_ionic_and_electronic_properties,"Our study shows that its maximum capacity reaches 751 mA h/g for Na-ion batteries or 250 mA h/g for K-ion batteries, and its diffusion barrier is only 0.027 eV for Na atom or 0.127 eV for K atom."
10/1038_ncomms7401_tisubstituted_tunneltype_na044mno2_oxide_as,"For the positive electrode materials, Prussian blue analogues, polyanionic compounds and oxides are widely investigated."
10/1557_s43578_025_01710_8_synthesis_strategies_and_in_situ,"Further, the mechanisms that drive Na-ion LTMO's growth and formation during calcination must be fully understood to reliably synthesize the material with the most optimized properties."
10/1039_d5ee00415b_benchmarking_stateoftheart_sodiumion_battery_cells,"This allows for a more precise tuning of CAM properties, which could pave the way towards competitive SIB cells given that cell voltage as well as capacity, are largely dependent on the CAM. 27,28 Furthermore, the elevated standard electrode potential allows for the application of Al as an anode current collector, thereby eliminating Cu from the cell."
10/5796_electrochemistry_19_00073_reversible_and_highrate_hard_carbon,"The seemingly low reversibility as compared with a previous report 26 was caused by the separator-less three-electrode cell configuration, in which the plated sodium metal is not subjected to external pressure."
10/1039_d5ee00877h_configurational_entropytailored_nasicon_cathode_redox,"As a result, at 0.2C, a high capacity of 170 mA h g À1 (almost the theoretical value) was produced, surpassing that of the majority of NASICON cathodes. 22,26,41,61,62 Furthermore, this verifies that HE-V's three-electron redox reactions were triggered."
10/1039_d2ta02451a_boosting_electrochemical_reaction_and_suppressing,"They successfully prepared a nine-component O3-type layered high-entropy oxide NaNi 0.12 Cu 0.12 Mg 0.12 Fe 0.15 Co 0.15 Mn 0.1 Ti 0.1 Sn 0.1 Sb 0.04 O 2 as a cathode material for SIBs, and the HEO cathode displays superior cycling stability (83% capacity retention after 500 cycles) and excellent rate performance (80% capacity retention at 5 C)."
10/1039_d2ta01485h_enhanced_oxygen_redox_reversibility_and,This work provides insight and strategies for improving the structural stability and electrochemical performance of sodium layered oxides.
10/3389_fenrg_2020_00064_3d_carbon_networks_constructed_navpo4fcrgo,"The fluorophosphate NaVPO 4 F (NVPF) is a good candidate of cathode material for sodium-ion batteries (SIBs) due to its high theoretical specific capacity, high working voltage and stable structure."
10/1038_s41467_023_40669_0_design_principles_for_nasicon_superionic,"Although many silicate NASICONs containing metals with 5+ oxidation state were predicted to be synthesizable, they tended to form NaM 5+ O 3 competing phases."
10/1039_d1ta10889a_hierarchical_soot_nanoparticle_selfassemblies_for,We hypothesize that the presence of the conductive phase along with a high surface area amorphous phase in the microparticles could potentially accommodate a large volume change upon sodium storage.
10/15251_cl_2022_1911_817_hydrothermal_synthesis_of_ultrathin_ws2,"But after 100 cycles, the sodium storage capacity of the samples still remains at 250.2 mAh g -1 ."
10/1039_d4ta04786a_from_structure_to_electrochemistry_the,"A prime is used to indicate distortion of the ideal structure. 37 In O3-type layered sodium transition metal oxides, octahedra of adjoining sodium sites share edges."
10/1039_d3ta04739c_investigation_of_sodium_insertion_in,"However, they found no change in intensity during the sloping region but still assigned this region to sodium intercalation into graphene layers."
10/5796_electrochemistry_18_00029_mechanism_of_the_nasubstituted_spinel,"Therefore the present Nacontained spinel phase should be a newly found one, and completely different from the Na-contained phases and any other Na-doped LTO phase as previously reported. 18, In the XRD pattern of this sample, the 220 diffraction peak is more clearly observed for the new Na-contained phase than the other Li 4 Ti 5 O 12 phase."
10/1039_d4sc01395f_pdoped_spherical_hard_carbon_with,"Introducing a suitable amount of P atoms can optimize the polydisperse spherical hard carbon, expand the interlayer spacing and repair some defects in carbon layers."
10/1007_s40820_020_00587_y_from_micropores_to_ultramicropores_inside,"For the practical applications, excellent sodium-ion storage performance under room-/low-temperature in thick electrode is crucial."
10/54097_hset_v46i_7717_diverse_promising_electrode_materials_for,"SIB is an important energy storage technology with low cost, rich resources and good comprehensive performance, with great development potential, sodium element has similar electrochemical properties to lithium, and its resources are rich, so in future development, the SIB has a very broad prospect."
10/1039_c7ra01047h_a_high_rate_and_stable,"In sodium ion batteries, the cathode is the costliest component of the cell, which is typically a transition metal oxide with high electronic and ionic conductivity."
10/1039_d5ta03000e_assessing_the_role_of_morphological,"Sodium-ion batteries (NIBs) have attracted increasing attention as a potential low-cost alternative to lithium-ion batteries (LIBs), particularly to those using a combination of lithium iron phosphate (LFP) and graphite."
10/1038_srep26195_tin_phosphidebased_anodes_for_sodiumion,The electrochemical tests were performed using a coin-type cell (CR-2032) with a sodium metal counter electrode.
10/1038_ncomms15888_sodium_vanadium_titanium_phosphate_electrode,Sodium-ion batteries operating at ambient temperature hold great promise for use in grid energy storage owing to their significant cost advantages.
10/1039_d0cc05673a_electrochemical_formation_protocols_for_maximising,The higher cell voltages relate to the lower plateau observed at B0.1 V for hard carbon vs.
10/1016_j_ccr_2025_216912_synergistic_role_of_transition_metals,"This property of Mn makes it the most favorable transition metal, giving two sodium reactions per single Mn ion, both at high voltage and within ode material offers a theoretical capacity of 106 mAh/g, considering two Na-ion reactions."
10/1038_s41598_017_13718_0_an_efficient_evaluation_of_fdoped,A series of NASICON-type F-doped sodium vanadium phosphate polyanion materials were successfully synthesized by simple sol-gel method and the results were compared with bare material.
10/1039_c7ra02289a_custom_designed_znmnsub2subosub4subnitrogen_doped_graphene,This in turn is an evidence that the sodium insertion and extraction reaction of ZMO/NG nanocomposite anode takes place much readily and attributes to the excellent reversibility behaviour in SIBs.
10/26599_jac_2023_9220738_improving_ionic_conductivity_of_vonalpentype,The E a of the Mg 0.1 NZSP increased up to 0.286 eV; it is assumed that E a increases when the NASICON composition exceeds the optimal range despite its rhombohedral structure.
10/1007_s40820_021_00628_0_pancakelike_mof_solidstate_electrolytes_with,"Strong repulsive force could restrict the migration of anions, which leads to the increase in t Na+ (the mechanism diagram was shown in Fig. 4f)."
10/1039_d2ya00130f_high_voltage_and_superior_cyclability,Characteristic redox peaks for (de)intercalation of Na-ions are shifted to more positive potentials in 0.25 M Na 2 SO 4 and 0.25 M NaNO 3 compared to those in 0.25 M NaClO 4 .
10/1038_s41467_025_58113_w_fluorinated_amorphous_halides_with_improved,"Supplementary Fig. 14 presents Zr K-edge XANES spectra of HNISEs, analyzed to link average local chemical environments to Na-ion migration within the amorphous phase."
10/1038_s41467_024_47522_y_consummating_ion_desolvation_in_hard,"The Na 1s peak of hard carbon harvested from ester electrolytes shifts 1.117 eV towards lower binding energy (Fig. 5f), which is much larger than that cycled in ether electrolyte (0.170 eV)."
10/1039_d1cp00610j_insights_into_the_sodiation_mechanism,"As P2 occurs mainly during the low-slope phase and becomes irrelevant as soon as P3 sets in, we assign it to the diffusive transport sodium ions into the carbon host to high adsorption energy binding sites."
10/1039_d3ra03767c_molten_saltassisted_synthesis_of_bismuth,The ionic diffusion coefficient for bismuth NSs electrode as a function of voltage can be determined by the following equation: And the value of D Na + (Na-ion coefficient of the bismuth NSs electrode) is calculated which is between 10 -15 and 10 -10 cm 2 s -1 during the charge/discharge process.
10/1007_s43979_023_00053_9_research_progresses_in_o3type_nifemn,"In addition, carbon coated NaFeO 2 //hard carbon full cell also presented good cyclic performance with 81.9% capacity retention after 100 cycles."
10/20517_energymater_2023_63_constructing_threedimensional_architectures_to_design,"In particular, hard carbon is characterized by its resistance to graphitization above 2,500 °C, making it a crucial material in the development of SIBs."
10/1039_d0ta03571h_tinbased_ionic_chaperone_phases_to,"S9 and Table S1.t After cycling, shown in Fig. 5 and 5d, cells assembled with bare NaSICON demonstrate a larger series resistance, shown by a shift in the impedance spectra to a more positive position along the Z' axis."
10/1038_s41598_017_05629_x_firstprinciples_study_of_sodium_intercalation,"Crystalline Na-Si alloys have also been reported (e.g., NaSi 32 ), however, as previously noted, crystalline silicon is inactive towards electrochemical sodium insertion ."
10/1557_s43578_025_01669_6_coppercontaining_layered_oxide_cathodes_for,"Co-precipitation produces hydroxide or carbonate precursors with uniform metal-site distribution; after blending with a sodium source and a brief calcination step, it yields high tapdensity powders with controlled particle morphology and is currently the most industrially scalable wet route for both LIB and SIB cathodes."
10/20517_energymater_2025_08_partially_graphitic_structureassisted_hard_carbon,"The sufficient interlayer spacing for the deintercalation of Na ions and enhanced electrical conductivity, which is facilitated by the partial crystallinity, could render lignin-based hard carbon an effective anode material for SIBs."
10/1038_s41467_024_47415_0_activating_reversible_carbonate_reactions_in,The dense solid electrolyte was firstly prepared and then the porous Nasicon layer was fabricated on the dense Nasicon by a screen-printing process using a Nasicon slurry with a pore former (Di-ethylene glycol butyl ether).
10/1039_c5cc09656a_graphene_mediated_improved_sodium_storage,"Therefore, considering all these observations, it can be concluded that graphene synergistically couples with diglyme to significantly improve the sodium insertion electrochemistry of TiO 2 ."
10/1002_smll_202505200_electrochemical_performance_and_diffusion_kinetics,"The results predict the most favorable sodium-ion migration pathways, with the 3D iso-surfaces of these diffusion channels, as illustrated in Fig. 5(d)."
10/2172_2004042_keep_it_lewisbasic_stability_of,"X-ray photoelectron spectroscopy (XPS), however, revealed a decrease in Na content in the NaSICON exposed to the acidic catholyte."
10/1038_s41598_020_66148_w_investigation_on_the_electrochemical_performances,"In this study, Mn 2 O 3 is synthesised by combining a hydrothermal and a thermal decomposition method and used as Na-ion battery anode for the first time."
10/1039_c8ta09422e_a_novel_p3type_nasub23submgsub13submnsub23subosub2sub_as,"Taken together, it suggests that reducing or eliminating structure transition induced by cation migration is critical for achieving real reversible (both capacity and voltage) oxygen redox reaction for sodium-ion cathodes."
10/1039_d2ya00282e_virtual_screening_of_organic_quinones,"The equation of a line of best fit, which correlates the experimentally measured reduction potential of the SIB quinone cathode materials to the DFT-calculated gas phase LUMOenergies of the quinone molecules, is given by: B3LYP is the predicted reduction potential at the B3LYPlevel."
10/1039_d5sc03041b_synergistic_intercalationconversion_reaction_mechanism_in,"In order to demonstrate the practical application of PbHCF, full cells were assembled with PbHCF/CNTs as the cathode and pre-sodiated hard carbon (HC) as the anode (HC‖PbHCF/CNTs, Fig. 5a)."
10/1039_c8ra01908h_flexible_cmosub2subc_fiber_film_with,"Additionally, the Mo 2 C particles provide many electrochemically active sites, leading to additional improvement in sodium storage."
10/1038_s41467_024_47415_0_activating_reversible_carbonate_reactions_in,"The substantial improvement in electrochemical performance in the Nasicon SE-based Na-air battery originates from the in-situ formed catholyte that can lead to the chemical reactions of the discharge products formed in 1 st discharge with the ambient air, and then can activate the reversible electrochemical reactions of Na 2 CO 3 xH 2 O (Fig. 4) in subsequent cycles."
10/1039_d4sc02266a_carboxylate_esterbased_electrolytes_for_naion,"In addition, the difference in ICE becomes larger as solvent chain length increases, suggesting the carboxylate molecules become much more reactive as they are longer. 11 Their compatibility with hard carbon was further assessed by CV (Fig."
10/1039_d2ta05971a_unveiling_a_high_capacity_multiredox,We obtained the initial structure of Nb 2 (PO 4 ) 3 from the inorganic crystal structure database 50 and we took the equivalent Na positions from the Na 4 V 2 (PO 4 ) 3 cathode NASICON structure.
10/54097_xca1qg21_optimization_of_electrode_materials_for,"Nanotechnology holds particular promise for lithium-ion and sodium-ion battery technologies, which are leading contenders to power the next generation of EVs."
10/1039_d3ta05790a_solidstate_sodium_batteries_with_p2type,"It should be noted that when used in a similar P2-type Na 0.67 -Ni 0.33 Mn 0.67 O 2 electrode, decomposition of the PEGDA-MEA polymer electrolyte was far greater."
10/1038_s41467_018_03257_1_monovalent_manganese_based_anodes_and,"First, the high potential (vs. standard hydrogen electrode (SHE)) from the typical transition-metal redox reaction in PBA materials suggests their employment as cathode in Na-ion batteries, as in previous reports ."
10/3389_fchem_2020_00152_building_high_power_density_of,Emerging sodium-ion batteries (SIBs) devices hold the promise to leapfrog over existing lithium-ion batteries technologies with respect to desirable power/energy densities and the abundant sodium sources on the earth.
10/48676_unibo_amsdottorato_10734_synthesis_and_characterization_of_prussian,"The electrochemical performance of the MnHCF-P/A electrodes were examined in sodium metal cells, using 1 M NaPF 6 (PC) electrolyte within potential 2.0~4.0 V (vs."
10/1039_d2ta01485h_enhanced_oxygen_redox_reversibility_and,This work provides new methods to preserve the structural integrity in oxygen redox active sodium layered oxides which can achieve high energy densities and show enhanced oxygen redox reversibility.
10/1371_journal_pone_0311943_spherical_hard_carbongraphite_anode_for,"With the increase of the hard carbon ratio, the intensity of I significantly decreases, and the value of I/I increases simultaneously, indicating that the graphitization degree of the hybrid powder system gradually decreases, stemming from the hard carbon increasing the disorder of the entire powder system, which is conducive to the improvement of the kinetics."
10/1007_s40820_022_00885_7_tailoring_nitrogen_terminals_on_mxene,"Overall, due to the inorganic component of SEI layer and more active sites for redox reaction, it is easy to understand the reason why Ti 3 C 2 -N funct delivers better sodium storage performance than that of Ti 3 C 2 as shown in Fig. 3."
10/1002_smll_202404660_achieving_a_rapid_na_supsup,"Besides, Figure 2i exhibited the TEM elemental mapping images of all elements for the Na0.92K0.08VPF/C sample, displaying the homogenous elemental distribution of Na, K, V, C, P, O and F."
10/1039_d2ma00031h_eldfellitetype_cathode_material_navsosub4subsub2sub_for,"Among these heteroelements, polyanions with highly electro-negative heteroelements such as sulfur have an inductive effect on the electrode potential due to their strong electronic attraction. So far, the following sulfates with a Fe 2+ /Fe 3+ redox couple have been reported as cathode active materials for Na-ion batteries: Na 2 Fe 2 (SO 4 ) 3 (3.8 V (vs."
10/1039_d1ma00731a_insights_into_the_diverse_precursorbased,"Hard carbons from organic polymer-based precursors mainly belong to organic resin precursors like polyacrylonitrile (PAN), 129 phenolic resin, 44 epoxy resin, 130 and conducting organic polymers such as polyaniline (PANI). 131 Among these, the resorcinol formaldehyde resin (RF-resin) is an excellent precursor due to the ease of synthesis, availability, and high carbon yield."
10/20517_energymater_2024_306_recent_research_progress_in_the,TMSPi: trimethylsilyl phosphite; NVPF: Na 3 V 2 (PO 4 ) 2 F 3 ; EC: ethylene carbonate; PC: propylene carbonate; DMC: dimethyl carbonate; TEM: transmission electron microscope; NPP6: 6th sodium-ion electrolyte formulation with PC and PFPN; PFPN: ethoxy (pentafluoro) cyclotriphosphazene. successfully achieving all-weather adaptability [Figure 6C] .
10/1038_s41467_017_00157_8_environmentally_stable_interface_of_layered,"Our findings highlight the significance of a stable interface and, moreover, open opportunities for the design of well-tailored cathode materials for sodium storage."
10/1002_aenm_202303833_review_insights_on_hard_carbon,The electrochemical characterization of hard carbon is first carried out in a coin cell (versus Na metal) at low current rates permitting full sodiation/desodiation.
10/1039_d1ma00613d_enhancing_the_performance_of_hard,"Some larger agglomerates were also visible on the surface of the fibres, which appear smooth if hard carbon without the silicon component is produced in this way."
10/1007_s40820_025_01742_z_transformative_effect_of_li_salt,"Figure 4c, d shows the SEM images from the cycled hard carbon electrodes and O3-type positive electrodes that were dismantled from the cycled pouch cells."
10/1039_d4ee06029f_an_enhanced_threestage_model_for,"As these regions become saturated, the increasing local concentration of sodium ions gives rise to significant electrostatic repulsion, which can reduce ion mobility."
10/1039_d0ee01363c_a_revised_mechanistic_model_for,"Combining experimental results with DFT calculations, we propose a revised mechanistic model in which sodium ions store first simultaneously and continuously at defects, within interlayers and on pore surfaces."
10/1039_d4ta07755e_structural_evolution_of_prussian_blue,"Prussian blue analogue (PBA) materials, built on the hexacyanoferrate [Fe (II) (CN) 6 ] 4-metal complex, contain redoxactive transition metal ions embedded in a exible framework with tuneable structure, composition and properties."
10/1016_j_ensm_2022_12_042_tailoring_solidelectrolyte_interphase_and_solvation,"The sluggish Na + reaction kinetics with carbon materials limits the fastcharging capability, Coulombic efficiency, and cycle life of sodium-ion batteries, especially at low temperatures."
10/1039_d4ra03616f_preparation_of_znsub3subnbsub2subosub8sub_anode_material,"Herein, we prepared two Zn 3 Nb 2 O 8 materials with distinct morphologies through different methods and the Zn 3 Nb 2 O 8 was used as the electrode material in lithium/sodium-ion batteries for the rst time."
10/1039_d5sc04575d_rational_phosphating_layer_design_in,"S6, SI) reveal that irregular block-like shapes were observed for all the hard carbon morphologies, with the distribution of red phosphorus in the 5 wt% P-HC showing some degree of aggregation and unevenness."
10/1039_d1ma00731a_insights_into_the_diverse_precursorbased,The influences of microporosity and inaccessible closed pores on the PRC at low voltages are critical in improving the Na-ion insertion and storage of the MSHCs.
10/54254_2977_3903_2025_21919_review_of_sodiumion_battery_research,"After a series of processing treatments, they exhibit excellent sodium-ion storage properties, making them suitable as electrode materials for sodium-ion batteries."
10/1039_c7ta09924j_enhanced_alkaline_stability_in_a,"Guided by general rules for metal-oxide bond stability, we have designed, synthesized, and evaluated a Hf-substituted NaSICON variant with increased alkaline stability, relative to its zirconium-based analogue."
10/1039_d5sc08154h_anionbased_electrolyte_chemistry_for_sodiumion,"While strongly coordinating anions can reside more stably within the sodium ion's solvation sheath and effectively participate in interfacial lm formation, they oen lead to increased viscosity and reduced salt solubility."
10/1039_d4eb00017j_recent_progress_and_perspectives_on,"Layered transition metal oxides (LTMOs) are regarded as a compelling candidate for the prospective commercialization of sodium-ion batteries (SIBs), attributed to their simplistic architectural design, elevated operating potential window, and the feasibility of synthesis and tailoring."
10/1039_d3ra02132g_synthesis_of_sbpyromellitic_acid_metalorganic,These results indicate that the synthesized Sb-PMA is a promising anode material for sodium ion batteries.
10/20517_energymater_2024_06_recent_advances_in_alloying_anode,"In fact, hard carbon from various sources, including biomass-derived hard carbon, has been widely searched for an optimum capacity for delivering SIB anodes [3, ."
10/1039_d5sc03041b_synergistic_intercalationconversion_reaction_mechanism_in,"Among various cathode materials, Prussian blue analogues (PBAs) show great promise due to their three-dimensional open framework and easy synthesis process."
10/1021_acsaem_3c02994_can_a_coating_mitigate_molten,"This resistance reduction manifested as a 70% decrease in overpotential during galvanostatic testing and lower total resistances during EIS measurements. • At 100 mA cm -2 and 500 mA cm -2 (for a total of 2.3 Ah cm -2 ), the Sn coating was effective in suppressing Na penetration in NaSICON, particularly via Mode I degradation (penetration from pressure buildup at the plating interface)."
10/20517_microstructures_2023_102_nadeficient_p2type_layered_oxide_cathodes,"As a result, P2-type layered oxides generally show better rate performance and cyclic stability ."
10/1039_d4sc01395f_pdoped_spherical_hard_carbon_with,"Generally, the degree of graphitization can be evaluated by the integral area ratio of A D1 /A G . 15 The A D1 /A G was increased slightly from 1.006 (HC) to 1.064 (PHC-0.4) when the P-doped content was increased from 0 to 0.32 at% (Table 1), indicating that the microstructure of hard carbon tends to be more disordered to some extent."
10/1557_s43578_025_01710_8_synthesis_strategies_and_in_situ,"For Na-ion LTMOs to emerge as a commercially viable chemistry, significant studies must be performed on developing synthesis techniques that produce ideal particle morphologies with a method that can be translated to large-scale production."
10/1007_s40820_025_01706_3_tunable_platform_capacity_of_metalorganic,"To investigate the redox reactions of sodium storage, cyclic voltammetry (CV) curves of highentropy MOFs were measured at scan rates of 0.1 mV s -1 between 0.01 and 3.0 V (Fig."
10/1038_s41467_024_47522_y_consummating_ion_desolvation_in_hard,"Before XPS tests, the cycled hard carbon was washed with dimethoxyethane three times to remove residual electrolytes and then dried by evaporation in a vacuum chamber."
10/54254_2977_3903_2025_21919_review_of_sodiumion_battery_research,"In the future, there is potential to improve energy density and resolve the limitations of sodium-ion batteries."
10/1038_s43246_024_00569_2_stabilization_of_p2_layered_oxide,"Hard carbon is a sodium-free negative electrode, and when combined with the sodium-deficient P2-type layered oxide, results in a full cell with significantly reduced first-cycle capacity and, in turn, specific energy density 5 ."
10/1007_s12274_020_2848_z_phase_boundary_engineering_of_metalorganicframeworkderived,"Among the various anode candidates, transitional metal sulfides , which store sodium via a conversion or alloy-dealloying reaction mechanisms, stand out for their impressive electronic conductivity and substantial theoretical capacity compared to hard carbon anodes (typically less than 300 mAh/g) ."
10/4191_kcers_2018_55_4_07_conversionalloying_anode_materials_for_naion,"This is the first time that a reversible conversion reaction was found for the mixed spinel composite, thereby providing an alternative anode material and a new approach for Na-ion batteries."
10/1039_d5eb00168d_key_factors_influencing_the_plateau,"Our insights provide a foundation for the design of high-performance carbon materials by focusing on key structural and processing factors, contributing to advancements in sodium-ion battery technology."
10/1039_d4nr04916k_ferroelectricity_enhances_ion_migration_in,"The second stage is insertion-pore filling into the interlayers and nanopores of hard carbon, shown as a relatively flat region with a voltage below 1 V vs."
10/1007_s42452_018_0141_5_structural_effects_on_the_enhancement,Nitrogen adsorption/desorption isotherms at 77 K are shown in Fig. 8 for mangrove char-derived hard carbons made with various preheating durations.
10/1039_d1ma00613d_enhancing_the_performance_of_hard,The hard carbon produced under nitrogen (HC-N 2 ) delivered an oxidation capacity of 284 mA h g À1 .
10/1021_acs_chemmater_2c02816_phase_stability_and_kinetics_of,"To gain insight into key factors affecting reversible Ca 2+ ingress/egress within a NaSICON framework, a large survey of CaxNayV2(PO4)3 phases was conducted, and these materials were characterized using a variety of analytical techniques."
10/1039_d2ta09406a_sodiation_energetics_in_pore_size,"As shown in our previous study for a single hard carbon, 30 prior to turning point A, only the interlayer sites are lled with Na ions."
